id,pop,pop2,lat,lon,Elevation.in.m
BW1,BW2,BW,-24.67361111,25.98244444,997
BW10,BW1,BW,-21.38891667,27.45869444,949
BW11,BW1,BW,-20.97952778,27.31863889,1047
BW12,BW1,BW,-20.80436111,27.03391667,1117
BW13,BW1,BW,-20.21838889,26.20697222,907
BW14,BW3,BW,-20.11494444,23.52108333,930
BW15,BW3,BW,-19.92458333,23.50858333,929
BW16,BW3,BW,-19.95952778,23.47936111,936
BW17,BW3,BW,-20.06819444,23.36047222,935
BW18,BW3,BW,-20.35713889,22.95658333,938
BW19,BW2,BW,-24.10327778,25.03144444,1090
BW2,BW3,BW,-24.58266667,25.94697222,993
BW20,BW1,BW,-24.60777778,25.85855556,1043
BW3,BW2,BW,-24.51525,26.00519444,981
BW4,BW2,BW,-24.19194444,26.20102778,938
BW5,BW2,BW,-24.41316667,26.08383333,972
BW6,BW2,BW,-23.80430556,26.43480556,978
BW7,BW2,BW,-22.43797222,26.71938889,1083
BW8,BW1,BW,-21.13736111,27.50716667,999
BW9,BW2,BW,-21.15013889,27.50391667,988
GP1,GP1,GP,-25.88316667,28.19922222,1444
GP2,GP2,GP,-25.68605556,28.19291667,1254
GP3,GP2,GP,-25.65894444,28.31088889,1245
GP4,GP2,GP,-25.89619444,28.01419444,1413
GP5,GP2,GP,-25.71844444,28.28083333,1322
KZN1,KZN3,KZN,-27.50708333,32.30272222,83
KZN10,KZN3,KZN,-27.3735,32.13688889,88
KZN11,KZN3,KZN,-27.87325,32.47063889,43
KZN12,KZN3,KZN,-28.15761111,32.28747222,33
KZN14,KZN3,KZN,-28.82805556,31.12508333,453
KZN15,KZN3,KZN,-28.86102778,31.01197222,215
KZN16,KZN2,KZN,-28.22780556,31.16819444,687
KZN17,KZN3,KZN,-29.9095,30.09833333,550
KZN18,KZN1,KZN,-29.61175,30.44394444,622
KZN19,KZN3,KZN,-28.51136111,31.74530556,330
KZN2,KZN3,KZN,-27.51538889,32.29775,80
KZN20,KZN3,KZN,-29.7285,30.76744444,439
KZN21,KZN2,KZN,-29.70275,30.73783333,603
KZN22,KZN2,KZN,-29.76188889,30.86969444,124
KZN23,KZN2,KZN,-29.682,30.89661111,171
KZN3,KZN3,KZN,-27.50780556,32.30108333,84
KZN4,KZN3,KZN,-27.43655556,32.37052778,88
KZN5,KZN3,KZN,-26.92380556,32.25122222,73
KZN6,KZN3,KZN,-27.58066667,32.26325,47
KZN7,KZN3,KZN,-27.57711111,32.26116667,47
KZN8,KZN3,KZN,-27.55575,32.26394444,49
KZN9,KZN3,KZN,-27.38766667,32.15072222,64
L1,L,L,-24.16563889,28.97438889,1065
L10,L,L,-23.01544444,29.63836111,821
L11,L,L,-23.00288889,29.62052778,809
L12,L,L,-23.13975,30.46527778,600
L13,L,L,-23.19344444,30.42733333,581
L14,L,L,-23.17461111,30.42533333,627
L15,L,L,-23.18886111,30.4355,580
L16,L,L,-23.26338889,30.7845,429
L17,L,L,-23.25852778,30.79097222,438
L2,L,L,-24.16636111,28.97816667,1074
L20,L,L,-22.75577778,30.89461111,415
L21,L,L,-22.99186111,30.72338889,581
L22,L,L,-23.10830556,31.43716667,270
L23,L,L,-23.83963611,29.363725,1251
L3,L,L,-22.34388889,30.04886111,553
L5,L,L,-22.34669444,30.05108333,529
L6,L,L,-22.77575,30.08111111,632
L7,L,L,-22.85833333,30.69711111,477
L9,L,L,-23.01325,29.63663889,817
MP1,MP1,MP,-24.40861111,30.81694444,462
MP11,MP4,MP,-25.06975,31.12797222,544
MP12,MP4,MP,-25.69286111,31.22058333,544
MP13,MP4,MP,-25.69047222,31.22427778,563
MP14,MP4,MP,-25.76063889,31.03894444,718
MP15,MP4,MP,-25.46330556,30.93291667,699
MP16,MP2,MP,-25.446,30.97358333,638
MP17,MP3,MP,-25.34877778,31.17308333,635
MP18,MP4,MP,-25.57058333,31.67527778,258
MP2,MP1,MP,-24.42091667,30.81544444,538
MP20,MP4,MP,-25.62938889,31.73175,241
MP21,MP4,MP,-25.51094444,31.91833333,181
MP22,MP4,MP,-25.33586111,31.78016667,202
MP23,MP4,MP,-25.70866667,31.52144444,331
MP3,MP1,MP,-24.34858333,30.95897222,517
MP4,MP1,MP,-23.90433333,31.02980556,399
MP5,MP4,MP,-24.41702778,31.06216667,605
MP6,MP4,MP,-24.75591667,31.03866667,604
MP7,MP4,MP,-24.87866667,31.42133333,399
MP8,MP4,MP,-24.92838889,31.47911111,388
MP9,MP4,MP,-24.97566667,31.28016667,405
NA1,NAM,NAM,-18.12266667,16.31869444,1103
NA2,NAM,NAM,-18.12266667,16.31869444,1103
NA3,NAM,NAM,-17.57905556,17.22280556,1157
NA4,NAM,NAM,-17.62497222,18.61177778,1129
NA5,NAM,NAM,-17.62405556,18.61452778,1089
NA6,NAM,NAM,-17.85072222,19.27094444,1079
NW1,NW1,NW,-25.5275,27.97766667,1261
